0	0.0032375 	1	4	4	2	-2	0	3	-3	-4	-1	-3	2	4	2	1	1	-2	-1	-2	0	2	0	1	-2	-1	0	-2	2	0	-2	1	-2
1	0.0035697 	-3	4	-2	-1	4	-4	0	4	-2	-2	0	1	-4	4	-4	-1	-1	-1	-2	-2	-2	-2	-1	-2	-1	-2	-2	1	-2	1	0	2
2	0.0034056 	4	-3	-3	-4	4	-1	4	4	-1	-2	2	-1	2	0	0	2	2	1	-1	-2	1	-1	2	1	1	1	-1	0	1	0	0	-2
3	0.0032733 	2	-3	-2	2	2	2	3	-1	2	3	-3	2	-1	-2	0	3	-2	-2	1	1	0	-1	2	-2	-1	0	-1	-2	-1	0	1	-2
4	0.0038078 	-2	0	-1	-3	-2	4	2	-1	-4	-3	3	2	-2	2	0	-4	-2	-1	-2	-2	1	1	0	1	1	2	-1	0	-1	-2	0	1
5	0.0033634 	2	-3	-4	-1	2	-4	-3	-4	-3	-2	-3	4	1	-3	4	1	-1	1	-2	-2	1	0	1	-2	-2	-2	-1	-1	1	-2	-2	1
6	0.0033433 	-3	4	-2	-4	-1	-1	-3	-3	3	2	0	1	-2	-1	1	-1	-1	1	-2	-1	1	2	1	-1	1	-1	-1	2	-1	0	-1	1
7	0.0031898 	-3	-2	1	4	-2	2	2	2	-3	3	-3	4	2	4	2	3	0	-2	-1	2	0	1	1	-2	0	-2	-2	1	0	-2	0	-2
8	0.0035823 	-3	-2	-1	-3	-4	1	-3	3	-1	2	-4	2	1	-1	-2	3	1	0	0	0	-1	2	2	2	0	-1	-1	1	1	0	2	2
9	0.0036318 	2	1	1	4	2	-1	1	-2	0	3	-4	-4	4	4	2	0	-2	-1	-1	-2	2	2	1	0	-1	-1	2	0	2	-2	-2	1
