0	23.59 	1	4	4	2	-2	0	3	-3	-4	-1	-3	2	4	2	1	1	-2	-1	-2	0	2	0	1	-2	-1	0	-2	2	0	-2	1	-2	
1	30.09 	-3	4	-2	-1	4	-4	0	4	-2	-2	0	1	-4	4	-4	-1	-1	-1	-2	-2	-2	-2	-1	-2	-1	-2	-2	1	-2	1	0	2	
2	26.68 	4	-3	-3	-4	4	-1	4	4	-1	-2	2	-1	2	0	0	2	2	1	-1	-2	1	-1	2	1	1	1	-1	0	1	0	0	-2	
3	25.28 	2	-3	-2	2	2	2	3	-1	2	3	-3	2	-1	-2	0	3	-2	-2	1	1	0	-1	2	-2	-1	0	-1	-2	-1	0	1	-2	
4	29.60 	-2	0	-1	-3	-2	4	2	-1	-4	-3	3	2	-2	2	0	-4	-2	-1	-2	-2	1	1	0	1	1	2	-1	0	-1	-2	0	1	
5	24.28 	2	-3	-4	-1	2	-4	-3	-4	-3	-2	-3	4	1	-3	4	1	-1	1	-2	-2	1	0	1	-2	-2	-2	-1	-1	1	-2	-2	1	
6	25.66 	-3	4	-2	-4	-1	-1	-3	-3	3	2	0	1	-2	-1	1	-1	-1	1	-2	-1	1	2	1	-1	1	-1	-1	2	-1	0	-1	1	
7	26.14 	-3	-2	1	4	-2	2	2	2	-3	3	-3	4	2	4	2	3	0	-2	-1	2	0	1	1	-2	0	-2	-2	1	0	-2	0	-2	
8	29.11 	-3	-2	-1	-3	-4	1	-3	3	-1	2	-4	2	1	-1	-2	3	1	0	0	0	-1	2	2	2	0	-1	-1	1	1	0	2	2	
9	25.70 	2	1	1	4	2	-1	1	-2	0	3	-4	-4	4	4	2	0	-2	-1	-1	-2	2	2	1	0	-1	-1	2	0	2	-2	-2	1	
